phone_number,website,url,hosts,rooms,address,email_address,property_name
(928) 445-7270,http://www.prescottpinesinn.com,https://www.bnbfinder.com/inn/prescott-pines-inn-bb,Karen & Richard,13,"901 White Spar Rd, Prescott, AZ 86303",info@prescottpinesinn.com,Prescott Pines Inn B&B
(707) 937-5150,http://www.oceanfrontmagic.com/,https://www.bnbfinder.com/inn/alegria-oceanfront-inn-cottages,Elaine & Eric,1,"44781 Main St, Mendocino, CA 95460",inn@oceanfrontmagic.com,Alegria Oceanfront Inn & Cottages
(707) 878-9152,http://www.AppleGardenCottage.com,https://www.bnbfinder.com/inn/applegarden-cottage,Jan Lee,,"3875 Tomales Petaluma Rd, Tomales, CA 94971",reservations@AppleGardenCottage.com,AppleGarden Cottage
(559) 642-2001,http://www.appleblossombb.com,https://www.bnbfinder.com/inn/apple-blossom-inn-yosemite,Candy 'Apple' Arthur,5,"44606 Silver Spur Trail, Ahwahnee, CA 93601",appleblossominn@sti.net,Apple Blossom Inn Yosemite
(760) 765-0765,http://www.artistsloft.com/,https://www.bnbfinder.com/inn/artists-loft-bed-and-breakfast,Chuck Kimball and Nanessence,,"4811 Pine Ridge Ave, Julian, CA 92036",artists@artistsloft.com,Artists' Loft Bed and Breakfast
(530) 622-3456,http://www.bellavistainc.net,https://www.bnbfinder.com/inn/bella-vista-bed-breakfast,Kathleen Ash,5,"581 Cold Springs Rd, Placerville, CA 95667",kathleen@discoverbellavista.com,Bella Vista Bed & Breakfast
(479) 253-5454,http://www.EurekaSpringsRomanceBB.com,https://www.bnbfinder.com/inn/arsenic-old-lace-bb,Beverly and Doug Breitling,5,"60 Hillside Ave, Eureka Springs, AR 72632",ArsenicOldLaceBB@gmail.com,Arsenic & Old Lace B&B
(707) 433-8182,http://www.camelliainn.com,https://www.bnbfinder.com/inn/camellia-inn,Lucy,10,"211 North St, Healdsburg, CA 95448",info@camelliainn.com,Camellia Inn
(800) 572-0679,https://www.lodginginnapavalley.com/calistoga-lodging.html,https://www.bnbfinder.com/inn/calistoga-wine-way-inn,Nick Kite,8,"1019 Foothill Blvd, Calistoga, CA 94515",info@lodginginnapavalley.com,Calistoga Wine Way Inn
(707) 923-2124,http://www.benbowinn.com,https://www.bnbfinder.com/inn/benbow-historic-inn,John Porter,54,"445 Lake Benbow Dr, Garberville, CA 95542",confirmations@benbowinn.com,Benbow Historic Inn
(805) 569-1610,http://www.cheshirecat.com,https://www.bnbfinder.com/inn/cheshire-cat-inn,Christine Dunstan,12,"36 W Valerio St, Santa Barbara, CA 93101",cheshire@cheshirecat.com,Cheshire Cat Inn
(310) 459-1920,http://www.channelroadinn.com,https://www.bnbfinder.com/inn/channel-road-inn,,15,"219 West Channel Road, Santa Monica, CA 90402",channelroadinn@foursisters.com,Channel Road Inn
(707) 937-0697,https://www.victorianfarmhouse.com/,https://www.bnbfinder.com/inn/dennens-victorian-farmhouse,Jo Bradley & Fred Cox,7,"7001 North Hwy 1, Mendocino, CA 95460",innkeeper@victorianfarmhouse.com,Dennen's Victorian Farmhouse
(510) 233-2385,http://www.ebls.org,https://www.bnbfinder.com/inn/east-brother-light-station,Jillian,5,"117 Park Place, Richmond, CA 94801",info@ebls.org,East Brother Light Station
(831) 625-3263,http://www.carmelcountryinn.com/,https://www.bnbfinder.com/inn/carmel-country-inn,Amy,,"Dolores Street at Third Avenue, Carmel, CA 93921",info@carmelcountryinn.com,Carmel Country Inn
(831) 375-2095,http://www.greengablesinnpg.com,https://www.bnbfinder.com/inn/green-gables-inn-a-four-sisters-inn,,11,"301 Ocean View Blvd, Pacific Grove, CA 93950",greengablesinn@foursisters.com,"Green Gables Inn, A Four Sisters Inn"
(707) 937-4431,http://www.headlandsinn.com,https://www.bnbfinder.com/inn/headlands-inn-bed-breakfast,Denise McNicol,7,"10453 Howard Street, Mendocino, CA 95460",innkeeper@headlandsinn.com,Headlands Inn Bed & Breakfast
(831) 624-3871,http://www.cypress-inn.com,https://www.bnbfinder.com/inn/cypress-inn,Peter Radler,44,"Lincoln and Seventh Street, Carmel by the Sea, CA 93921",info@cypress-inn.com,Cypress Inn
(530) 564-1500,http://HeavenlyValleyLodge.com,https://www.bnbfinder.com/inn/heavenly-valley-lodge,Johan & Linda du Plooy,12,"1261 Ski Run Boulevard, South Lake Tahoe, CA 96150",innkeepers@heavenlyvalleylodge.com,Heavenly Valley Lodge
(707) 226-3774,http://www.hennesseyhouse.com,https://www.bnbfinder.com/inn/hennessey-house,Kevin & Lorri Walsh,10,"1727 Main St, Napa, CA 94559",inn@hennesseyhouse.com,Hennessey House
(707) 964-6725,http://www.howardcreekranch.com,https://www.bnbfinder.com/inn/howard-creek-ranch-inn,Charles and Sally Grigg,7,"40501 CA-1, Westport, CA 95488",lostcoast@mcn.org,Howard Creek Ranch Inn
(530) 621-0901,http://www.EdenValeInn.com,https://www.bnbfinder.com/inn/eden-vale-inn,Karen and David Browning,7,"1780 Springvale Rd, Placerville, CA 95667",Innkeeper@EdenValeInn.com,Eden Vale Inn
(707) 778-6022,http://www.crespiland.com/cottage.html,https://www.bnbfinder.com/inn/howards-end-petaluma-cottage-short-term-rental,Aaron Crespi,,"320 Erwin St, Petaluma, CA 94952",thatcrespi@crespiland.com,Howard's End Petaluma Cottage Short Term Rental
(707) 257-2886,http://www.innonrandolph.com/,https://www.bnbfinder.com/inn/inn-on-randolph,Sally Francis,5,"411 Randolph Street, Napa, CA 94559",innkeeper@innonrandolph.com,Inn on Randolph
(831) 624-2745,http://www.hofsashouse.com,https://www.bnbfinder.com/inn/hofsas-house-hotel,Carrie Theis,30,"San Carlos St, Carmel-By-The-Sea, CA 93923",info@hofsashouse.com,Hofsas House Hotel
(866) 504-5444,http://www.kaleidoscopeinn.com,https://www.bnbfinder.com/inn/kaleidoscope-inn-gardens,Carolayne Holley & Kevin Beauchamp,3,"130 E. Dana Street, Nipomo, CA 93444",info@kaleidoscopeinn.com,Kaleidoscope Inn & Gardens
(831) 373-3388,http://www.martineinn.com,https://www.bnbfinder.com/inn/martine-inn,Don Martine,25,"255 Oceanview Boulevard, Pacific Grove, CA 93950",don@martineinn.com,Martine Inn
(415) 668-3783,http://www.my-rosegarden.com/,https://www.bnbfinder.com/inn/my-rosegarden-guest-rooms,Kathleen Meeker,,"75 20th Avenue, San Francisco, CA 94121",Kathleen@my-rosegarden.com,My Rosegarden Guest Rooms
(831) 375-8284,http://www.oldmontereyinn.com/,https://www.bnbfinder.com/inn/old-monterey-inn,Wendy Dominguez,6,"500 Martin St, Monterey, CA 93940",omi@oldmontereyinn.com,Old Monterey Inn
(415) 441-2828,http://www.queenanne.com,https://www.bnbfinder.com/inn/queen-anne-hotel,,48,"1590 Sutter Street, San Francisco, CA 94109",stay@queenanne.com,Queen Anne Hotel
(760) 346-8061,http://www.inn-adc.com,https://www.bnbfinder.com/inn/inn-at-deep-canyon,Arnold,32,"74470 Abronia Trail, Palm Desert, CA 92260",sales@inn-adc.com,Inn at Deep Canyon
(707) 869-4466,http://www.sonomaorchidinn.com,https://www.bnbfinder.com/inn/sonoma-orchid-inn,Dana Murphy & Brian Siewert,9,"12850 River Road, Guerneville, CA 95446",innkeeper@sonomaorchidinn.com,Sonoma Orchid Inn
(530) 258-3382,http://www.stbernardlodge.com,https://www.bnbfinder.com/inn/st-bernard-lodge,Sharon Roberts,7,"44801 Mill Creek, Mill Creek, CA 96061",info@stbernardlodge.com,St. Bernard Lodge
(818) 448-0835,http://lasweetdreamsbnb.com/,https://www.bnbfinder.com/inn/sweet-dreams-la,Amy Ram,3,"14829 Morrison street, Sherman Oaks, CA 91403",amy@lasweetdreamsbnb.com,Sweet Dreams LA
(209) 267-5606,http://www.suttercreekinn.com,https://www.bnbfinder.com/inn/sutter-creek-inn,Lindsay Way,9,"75 Main Street, Sutter Creek, CA 95685",info@suttercreekinn.com,Sutter Creek Inn
(907) 479-0751,http://www.7gablesinn.com,https://www.bnbfinder.com/inn/7-gables-inn-suites,Paul & Leicha Welton,9,"4312 Birch Ln, Fairbanks, AK 99709",gables7@alaska.net,7 Gables Inn & Suites
(707) 786-4000,http://www.thegingerbreadmansion.com,https://www.bnbfinder.com/inn/the-gingerbread-mansion,Eugenia,5,"400 Berding Street, Ferndale, CA 95536",innkeeper@thegingerbreadmansion.com,The Gingerbread Mansion
(530) 344-0943,http://www.placervillebnb.com,https://www.bnbfinder.com/inn/the-fleming-jones-homestead-bed-breakfast-inn,Mark & Robin Miller,5,"3170 Newtown Road, Placerville, CA 95667",rnestranch@aol.com,The Fleming Jones Homestead Bed & Breakfast Inn
(707) 937-5615,http://www.stanfordinn.com/,https://www.bnbfinder.com/inn/stanford-inn-by-the-sea,Jeff Stanford,,"44850 Comptche Ukiah Road, Mendocino, CA 95460",info@stanfordinn.com,Stanford Inn by the Sea
(415) 641-0188,http://www.innsf.com,https://www.bnbfinder.com/inn/the-inn-san-francisco,Martin Neely,20,"943 South Van Ness Avenue, San Francisco, CA 94110",innkeeper@innsf.com,The Inn San Francisco
(209) 728-8933,http://www.victoriainn-murphys.com,https://www.bnbfinder.com/inn/the-victoria-inn,Michael Ninos,11,"402 Main Street H, Murphys, CA 95247",victoria_inn@sbcglobal.net,The Victoria Inn
(707) 963-1190,http://www.shadyoaksinn.com,https://www.bnbfinder.com/inn/shady-oaks-country-inn,John & Lisa Runnells,3,"399 Zinfandel Lane, Saint Helena, CA 94574",info@shadyoaksinn.com,Shady Oaks Country Inn
(831) 457-2200,http://www.westcliffinn.com,https://www.bnbfinder.com/inn/west-cliff-inn,Matt Conceicao,9,"174 W Cliff Dr, Santa Cruz, CA 95060",westcliffinn@foursisters.com,West Cliff Inn
(970) 527-4999,http://www.simplertimebnb.com/paoniafarmhouse/fhindex.htm,https://www.bnbfinder.com/inn/a-simpler-time-bed-and-breakfast,Sharon Morley,,"228 Onarga Ave, Paonia, CO 81428",cohair@tds.net,A Simpler Time Bed and Breakfast
(970) 259-1565,http://www.antlersonthecreek.com/,https://www.bnbfinder.com/inn/antlers-on-the-creek-bed-breakfast,Susan Barrett,7,"999 County Road 207, Durango, CO 81301",antlers@antleronthecreek.com,Antlers on the Creek Bed & Breakfast
(858) 456-2066,http://www.innlajolla.com,https://www.bnbfinder.com/inn/the-bed-breakfast-inn-at-la-jolla,Trisha,13,"7753 Draper Avenue, La Jolla, CA 92037",bedbreakfast@innlajolla.com,The Bed & Breakfast Inn at La Jolla
(719) 685-1277,http://www.AvenueHotelBandB.com,https://www.bnbfinder.com/inn/avenue-hotel-bed-and-breakfast,Gwenn David & Randy Hodges,7,"711 Manitou Avenue, Manitou Springs, CO 80829",info@avenuehotelbandb.com,Avenue Hotel Bed and Breakfast
(970) 527-6776,http://www.paonia-inn.com,https://www.bnbfinder.com/inn/bross-hotel-bed-breakfast,Linda Lentz,10,"312 Onarga Avenue, Paonia, CO 81428",brosshotel@paonia.com,Bross Hotel Bed & Breakfast
(719) 395-3313,http://www.buffalopeaks.com/,https://www.bnbfinder.com/inn/buffalo-peaks-bed-and-breakfast,Mark & Paz Waite,3,"28928 Fairway Drive, Buena Vista, CO 81211",info@buffalopeaks.com,Buffalo Peaks Bed and Breakfast
(831) 624-2776,http://www.tradewindscarmel.com,https://www.bnbfinder.com/inn/tradewinds-carmel,(Mrs.) Berit Keeble,28,"Mission Street at Third Avenue, Carmel, CA 93921",info@tradewindscarmel.com,Tradewinds Carmel
(303) 642-7181,http://eldoralodge.com,https://www.bnbfinder.com/inn/eldora-lodge-at-wonderu,Rebecca Richmond,10,"33247 Hwy 72, Golden, CO 80403",eldoralodge@gmail.com,Eldora Lodge at Wonderu
(970) 668-0195,http://www.friscolodge.com,https://www.bnbfinder.com/inn/frisco-lodge,Susan Wentworth,18,"321 Main Street, Frisco, CO 80443",info@friscolodge.com,Frisco Lodge
(719) 471-3980,http://www.HoldenHouse.com,https://www.bnbfinder.com/inn/holden-house-1902-bed-breakfast-inn,Sallie & Welling Clark,6,"1102 West Pikes Peak Avenue, Colorado Springs, CO 80904",mail@holdenhouse.com,Holden House 1902 Bed & Breakfast Inn
(303) 442-3007,http://www.BriarRoseBB.com,https://www.bnbfinder.com/inn/briar-rose-bed-and-breakfast,Carly Stevens,10,"2151 Arapahoe Ave, Boulder, CO 80302",info@briarrosebb.com,Briar Rose Bed and Breakfast
(719) 687-6656,http://www.pikespeakparadise.com,https://www.bnbfinder.com/inn/pikes-peak-paradise,Ron Pijut,,"236 Pinecrest Road, Woodland Park, CO 80863",info@pikespeakparadise.com,Pikes Peak Paradise
(719) 684-2521,http://www.rockymountainlodge.com,https://www.bnbfinder.com/inn/rocky-mountain-lodge-cabins,Brian & Debbie Reynolds,4,"4680 Hagerman Avenue, Cascade-Chipita Park, CO 80809",info@rockymountainlodge.com,Rocky Mountain Lodge & Cabins
(303) 747-2552,http://allensparklodgebnb.com,https://www.bnbfinder.com/inn/allenspark-lodge,Bill & Juanita Martin,12,"184 Colorado 7 Business, Allenspark, CO 80510",APLBNB@AOL.COM,Allenspark Lodge
(970) 945-4002,http://www.mitchellcreekbb.com,https://www.bnbfinder.com/inn/the-bed-and-breakfast-on-mitchell-creek,Stan,2,"County Road 132, Glenwood Springs, CO 81601",stanthebugman@gmail.com,The Bed and Breakfast on Mitchell Creek
(860) 248-1799,http://www.ameadowhouse.com,https://www.bnbfinder.com/inn/a-meadow-house-b-b,Terry & Crystal,,"67 White Hollow Road, Lakeville, CT 06039",tr7terry@hotmail.com,A Meadow House B & B
(970) 668-3224,http://www.friscoinnongalena.com,https://www.bnbfinder.com/inn/frisco-inn-on-galena,Bruce Knoepfel,15,"106 Galena St, Frisco, CO 80443",info@friscoinnongalena.com,Frisco Inn on Galena
(860) 572-9253,http://www.harbourinne-cottage.com,https://www.bnbfinder.com/inn/harbour-inne-cottage,Linda,4,"15 Edgemont St, Mystic, CT 06355",harbourinne@earthlink.net,Harbour Inne & Cottage
(860) 739-0331,http://www.innharborhill.com,https://www.bnbfinder.com/inn/inn-at-harbor-hill-marina,Sue and Dave Labrie,16,"60 Grand St, Niantic, CT 06357",info@innharborhill.com,Inn at Harbor Hill Marina
(970) 349-5888,http://www.purplemountainlodge.com/page.cfm?pageid=8765,https://www.bnbfinder.com/inn/purple-mountain-lodge-bed-breakfast,Christopher Haver,4,"714 Gothic Ave, Crested Butte, CO 81224",mail@purplemountainlodge.com,Purple Mountain Lodge Bed & Breakfast
(860) 572-0771,http://www.stonecroft.com,https://www.bnbfinder.com/inn/stonecroft-country-inn,Jim and Marcie Townsend,8,"515 Pumpkin Hill Rd, Ledyard, CT 06339",innkeeper@stonecroft.com,Stonecroft Country Inn
(860) 668-7931,http://www.thelilyhouse.com,https://www.bnbfinder.com/inn/lily-house-bed-and-breakfast,Lorraine Erickson,3,"13 Bridge St, Lowell, MA 01852",lorraine@thelilyhouse.com,Lily House Bed and Breakfast
(203) 488-3693,http://www.thimbleislandsbb.com,https://www.bnbfinder.com/inn/thimble-islands-bed-breakfast,Julie & Tony Broom,2,"28 West Point Road, Branford, CT 06405",julie@thimbleislandsbb.com,Thimble Islands Bed & Breakfast
(203) 758-8334,http://www.tuckerhillinn.com,https://www.bnbfinder.com/inn/tucker-hill-inn,Susan & Rich,4,"96 Tucker Hill Road, Middlebury, CT 06762",tuckerhill2@yahoo.com,Tucker Hill Inn
(860) 399-4634,http://www.stannardhouse.com,https://www.bnbfinder.com/inn/captain-stannard-house-bed-and-breakfast-country-inn,Jim & Mary Brewster,9,"138 S Main St, Westbrook, CT 06498",stay@stannardhouse.com,Captain Stannard House Bed and Breakfast Country Inn
(202) 328-3510,http://www.dcakwaaba.com,https://www.bnbfinder.com/inn/akwaaba-dc,"Tracy, Katch or Steve for Reservations",8,"1708 16th Street Northwest, Washington, DC 20009",reservations@bedandbreakfastdc.com,Akwaaba DC
(202) 328-3510,http://www.bedandbreakfastdc.com/accommodations/chester-a-arthur-bb,https://www.bnbfinder.com/inn/chester-a-arthur-house-bed-and-breakfast,Tracy,4,"13th St NW, Washington, DC 20005",reservations@bedandbreakfastdc.com,Chester A. Arthur House Bed and Breakfast
(202) 265-4414,http://www.swannhouse.com,https://www.bnbfinder.com/inn/swann-house,Isabelle Hauswald,9,"1808 New Hampshire Ave NW, Washington, DC 20009",swannhousedc@gmail.com,Swann House
(302) 226-3900,http://www.rehobothbandb.com,https://www.bnbfinder.com/inn/bewitched-bedazzled,Inez Conover & Rev. Sharon Marquart,13,"67 Lake Ave, Rehoboth Beach, DE 19971",innkeeper@rehobothbandb.com,Bewitched & Bedazzled
(202) 328-3510,http://www.bedandbreakfastdc.com/CardozoGuestHouse-id-31.html,https://www.bnbfinder.com/inn/cardozo-guest-house,,4,"13th and T Street NW (Exact Address Provided with Reservation), Washington, DC 20009",reservations@bedandbreakfastdc.com,Cardozo Guest House
(302) 226-7625,http://www.homesteadatrehoboth.com,https://www.bnbfinder.com/inn/homestead-at-rehoboth-b-b,Joe,4,"35060 Rd 275 13A, Rehoboth Beach, DE 19971",info@homesteadrehoboth.com,Homestead At Rehoboth B & B
(302) 644-4401,http://www.virdenhouse.com,https://www.bnbfinder.com/inn/the-john-penrose-virden-house,Ruth & Jim Edwards,2,"217 2nd St, Lewes, DE 19958",redwards@virdenhouse.com,The John Penrose Virden House
(904) 277-1604,http://www.AddisonOnAmelia.com,https://www.bnbfinder.com/inn/addison-on-amelia,Lisa West,14,"614 Ash St, Fernandina Beach, FL 32034",info@AddisonOnAmelia.com,Addison on Amelia
(727) 822-2244,http://www.beachdriveinn.com,https://www.bnbfinder.com/inn/beach-drive-inn-bed-breakfast,Roland and Heather Martino,6,"532 Beach Dr NE, St. Petersburg, FL 33701",info@beachdriveinn.com,Beach Drive Inn Bed & Breakfast
(302) 227-4117,http://www.rehobothguesthouse.com,https://www.bnbfinder.com/inn/rehoboth-guest-house,,14,"40 Maryland Avenue, Rehoboth Beach, DE 19971",manager@rehobothguesthouse.com,Rehoboth Guest House
(561) 655-8932,http://www.casagrandview.com,https://www.bnbfinder.com/inn/casa-grandview,"Cheryl, Kirk, and Tyler Grantham",,"1410 Georgia Ave, West Palm Beach, FL 33401",stay@casagrandview.com,Casa Grandview
(904) 829-2467,http://www.carriageway.com,https://www.bnbfinder.com/inn/carriage-way-bed-and-breakfast,Michaele,14,"70 Cuna Street, St. Augustine, FL 32084",info@carriageway.com,Carriage Way Bed and Breakfast
(203) 245-8457,http://www.thetidewater.com,https://www.bnbfinder.com/inn/tidewater-inn-bb,Victoria Kolyvas,8,"949 Boston Post Rd, Madison, CT 06443",escape@thetidewater.com,"Tidewater Inn, B&B"
(904) 810-2218,http://www.centennialhouse.com,https://www.bnbfinder.com/inn/centennial-house,Rakhi Patel,8,"26 Cordova St, St. Augustine, FL 32084",innkeeper@centennialhouse.com,Centennial House
(352) 543-9000,http://www.cedarkeybandb.com,https://www.bnbfinder.com/inn/cedar-key-bed-breakfast,Alice Phillips-Oakley,7,"810 3rd St, Cedar Key, FL 32625",info@cedarkeybandb.com,Cedar Key Bed & Breakfast
(904) 824-4301,http://www.bayfrontmarinhouse.com/?utm_source=bnbfinder.com&utm_medium=referral,https://www.bnbfinder.com/inn/bayfront-marin-house,Mike and Sandy Wieber,15,"142 Avenida Menendez, St. Augustine, FL 32084",info@bayfrontmarinhouse.com,Bayfront Marin House
(352) 631-8822,http://www.dolan-house.com,https://www.bnbfinder.com/inn/dolan-house-bb,Michael Joseph Dolan,2,"701 Museum Ct, Brooksville, FL 34601",info@dolan-house.com,Dolan House B&B
(904) 277-4851,http://www.elizabethpointelodge.com,https://www.bnbfinder.com/inn/elizabeth-pointe-lodge,,24,"S Fletcher Ave, Fernandina Beach, FL 32034",info@elizabethpointelodge.com,Elizabeth Pointe Lodge
(386) 410-4868,http://www.blackdolphininn.com,https://www.bnbfinder.com/inn/black-dolphin-inn,Brett P Smith,10,"916 S Riverside Dr, New Smyrna Beach, FL 32168",info@blackdolphininn.com,Black Dolphin Inn
(386) 454-2206,http://www.gradyhouse.com/,https://www.bnbfinder.com/inn/grady-house-bed-breakfast,Stephen Sabo,5,"420 NW 1st Ave, High Springs, FL 32643",grady@gradyhouse.com,Grady House Bed & Breakfast
(561) 833-9023,http://www.grandview-gardens.com,https://www.bnbfinder.com/inn/grandview-gardens-bed-breakfast-and-vacation-homes,,5,"1608 Lake Ave, West Palm Beach, FL 33401",grandviewinfo@grandview-gardens.com,Grandview Gardens Bed & Breakfast and Vacation Homes
(352) 468-2703,http://www.hamptonlakebb.com,https://www.bnbfinder.com/inn/hampton-lake-bed-breakfast,Paula Register,6,"9138 Southwest 71st Avenue, Hampton, FL 32044",hamptonlbb@aol.com,Hampton Lake Bed & Breakfast
(866) 398-4432,https://hendersonparkinn.com,https://www.bnbfinder.com/inn/henderson-park-inn,Wade,,"2700 Scenic Hwy 98, Destin, FL 32541",whowell@hendersonparkinn.com,Henderson Park Inn
(850) 650-9099,http://www.destinbeachsideinn.com,https://www.bnbfinder.com/inn/destin-hotel-at-beachside-inn,Kellie Hudson,,"2931 Scenic Hwy 98, Destin, FL 32541",info@DestinBeachsideInn.com,Destin Hotel at Beachside Inn
(850) 231-2733,http://hibiscusflorida.com/,https://www.bnbfinder.com/inn/hibiscus-coffee-and-guesthouse,Stephanie Vantassell,13,"85 Defuniak St, Santa Rosa Beach, FL 32459",home@hibiscusflorida.com,Hibiscus Coffee and Guesthouse
(321) 722-2727,https://www.portdhiver.com,https://www.bnbfinder.com/inn/port-dhiver-bed-and-breakfast,Mike and Linda Rydson,10,"201 Ocean Avenue, Melbourne Beach, FL 32951",info@portdhiver.com,Port d'Hiver Bed and Breakfast
(407) 205-9992,http://www.KappAndKappy.com,https://www.bnbfinder.com/inn/kapp-and-kappy-bb,Tom and Christi Kapp,3,"21 N Clyde Ave, Kissimmee, FL 34741",KappAndKappy@gmail.com,Kapp and Kappy B&B
(386) 253-5002,http://www.riverlilyinn.com,https://www.bnbfinder.com/inn/river-lily-inn-bed-breakfast,Polly Cappuccio,6,"558 Riverside Drive, Daytona Beach, FL 32117",riverlilyinn@cfl.rr.com,River Lily Inn Bed & Breakfast
(352) 821-1887,http://www.shamrockbb.com,https://www.bnbfinder.com/inn/shamrock-thistle-crown,Anne & Brantley Overcash,7,"12971 SE Highway 42, Weirsdale, FL 32195",inquiries@shamrockbb.com,Shamrock Thistle & Crown
(904) 277-0500,http://www.fairbankshouse.com,https://www.bnbfinder.com/inn/fairbanks-house,Bill and Theresa Hamilton,5,"227 S 7th St, Fernandina Beach, FL 32034",email@fairbankshouse.com,Fairbanks House
(941) 349-4554,http://www.turtlebeachresort.com,https://www.bnbfinder.com/inn/turtle-beach-resort,Jennifer,,"9049 Midnight Pass Road, Siesta Key, FL 34242",info@turtlebeachresort.com,Turtle Beach Resort
(305) 453-1313,http://www.tarponflatsinn.com,https://www.bnbfinder.com/inn/tarpon-flats-inn-marina,Gilda Molina,6,"29 Shoreland Dr, Key Largo, FL 33037",info@tarponflatsinn.com,Tarpon Flats Inn & Marina
(229) 931-0122,http://www.americusgardeninn.com,https://www.bnbfinder.com/inn/americus-garden-inn-bed-and-breakfast,Mr. & Mrs. Kim & Susan Egelseer,,"504 Rees Park, Americus, GA 31709",info@americusgardeninn.com,Americus Garden Inn Bed and Breakfast
(904) 825-3623,http://www.southernwindinn.com,https://www.bnbfinder.com/inn/southern-wind-inn,Scott & Donna Forbes,10,"18 Cordova Street, St. Augustine, FL 32084",innkeeper@southernwindinn.com,Southern Wind Inn
(321) 728-9334,http://www.windemereinn.com,https://www.bnbfinder.com/inn/windemere-inn-by-the-sea,"Bonnie, Patricia, Joanne",9,"815 S. Miramar Avenue, Indialantic, FL 32903",stay@windemereinn.com,Windemere Inn By The Sea
(706) 342-4400,http://www.bradyinn.com,https://www.bnbfinder.com/inn/brady-inn,Karen and Peter Wibell,7,"250 N 2nd St, Madison, GA 30650",host@bradyinn.com,Brady Inn
(912) 236-6080,http://www.azaleainn.com,https://www.bnbfinder.com/inn/azalea-inn-villas,Teresa Jacobson,10,"217 East Huntingdon Street, Savannah, GA 31401",info@azaleainn.com,Azalea Inn & Villas
(912) 447-8901,http://www.greenpalminn.com,https://www.bnbfinder.com/inn/green-palm-inn,Diane McCray,4,"548 E President St, Savannah, GA 31401",greenpalminn@aol.com,Green Palm Inn
(404) 688-9498,http://www.inmanparkbandb.com,https://www.bnbfinder.com/inn/inman-park-bed-breakfast,Eleanor Matthews,3,"100 Waverly Way, N.E., Atlanta, GA 30307",info@inmanparkbandb.com,Inman Park Bed & Breakfast
(904) 824-5214,http://www.victorianhousebnb.com,https://www.bnbfinder.com/inn/victorian-house-bb,Anthony and Marilyn Sexton,11,"11 Cadiz Street, Saint Augustine, FL 32084",stay@stayvictorianhouse.com,Victorian House B&B
