phone_number,website,url,hosts,rooms,address,email_address,property_name
207.883.2500,http://www.blackpointinn.com/,http://theinnkeeper.com/listing/black-point-inn/, Innkeepers,,"510 Black Point Road, Scarborough, ME 04074",info@blackpointinn.com ,Black Point Inn
207.824.2175,http://bethelinn.com/site/,http://theinnkeeper.com/listing/bethel-inn-country-club/, Innkeepers,,"21 Broad St, Bethel, ME 04217",info@bethelinn.com,Bethel Inn & Country Club
603.436.2481,http://www.wrensnestinn.com/,http://theinnkeeper.com/listing/wrens-nest-village-inn/, Innkeepers,,"3548 Lafayette Road, Portsmouth, NH 03801",info@wrensnestinn.com,Wren's Nest Village Inn
603.236.8383,http://www.snowyowlinn.com/,http://theinnkeeper.com/listing/snowy-owl/, Innkeepers,,"41 Village Road, Waterville Valley, NH 03215",snowy@snowyowlinn.com,Snowy Owl Inn
603.367.8896,http://www.purityspring.com/,http://theinnkeeper.com/listing/purity-spring-resort/, Innkeepers,,"1251 Eaton Road, East Madison, NH 03849",info@purityspring.com,Purity Spring Resort
207.288.2610,http://www.balancerockinn.com,http://theinnkeeper.com/listing/balance-rock-inn/, Innkeepers,,"21 Albert meadow, Bar Harbor, ME 04609",welcome@balancerockinn.com,Balance Rock Inn
603.837.2100,http://www.mountainviewgrand.com/,http://theinnkeeper.com/listing/mountain-view-grand-resort-spa/, Innkeepers,,"101 Mountain View Road, Whitefield, NH 03598",info@mountainviewgrand.com,Mountain View Grand Resort & Spa
603.356.9300,http://www.northconwaygrand.com/,http://theinnkeeper.com/listing/north-conway-grand-hotel/, Innkeepers,,"Route 16 at Settlers' Green, North Conway, NH 03860",sales@northconwaygrand.com,North Conway Grand Hotel
603.924.7548,http://www.jackdanielsinn.com/,http://theinnkeeper.com/listing/jack-daniels-motor-inn/, Eric & Pam Lorimer,,"80 Concord Street, Peterborough, NH 03458",innkeep@jackdanielsinn.com,Jack Daniels Motor Inn
603.279.7006,https://millfalls.com/inn-at-mill-falls/,http://theinnkeeper.com/listing/inns-at-mills-falls/, Innkeepers,,"312 Daniel Webster Way, Meredith, NH 03253",info@millfalls.com,Inns at Mills Falls
603.926.0330,http://www.oldsaltnh.com/lamies-inn/,http://theinnkeeper.com/listing/lamies-inn/, Innkeepers,,"490 Lafayette Road, Hampton, NH 03842",lamies@oldsaltnh.com,Lamie's Inn and The Old Salt Tavern
603.643.4300,http://www.hanoverinn.com/,http://theinnkeeper.com/listing/hanover-inn/, Innkeepers,,"Two East Wheelock, Hanover, NH 03755",individual.reservations@hanoverinn.com,Hanover Inn
603.236.4600,http://www.goldeneaglelodge.com/,http://theinnkeeper.com/listing/golden-eagle-lodge/, Innkeepers,,"28 Packard's Road, Waterville Valley, NH 03215",info@goldeneaglelodgeresort.com,Golden Eagle Lodge
603.356.6321,http://www.easternslopeinn.com/,http://theinnkeeper.com/listing/eastern-slope-inn-resort/, Innkepers,,"2760 Main Street, North Conway, NH 03860",stay@easternslopeinn.com,Eastern Slope Inn Resort
603.383.9111,http://www.eaglemt.com/,http://theinnkeeper.com/listing/eagle-mountain-house/, Innkeepers,,"Carter Notch Rd, Jackson, NH 03846",reservations@eaglemt.com,Eagle Mountain House
603.356.9025,http://www.the1785inn.com/,http://theinnkeeper.com/listing/1785-inn-restaurant/, Innkeeper,,"3582 White Mountain Highway, North Conway, NH 03860",info@the1785inn.com ,The 1785 Inn
1-504-524-4401,http://www.hotelstpierre.com/,http://theinnkeeper.com/listing/hotel-st-pierre-french-quarter-inns/, Innkeeper,74,"911 Burgundy St., New Orleans, LA 70116",fqinnsreservations@nolahotelgroup.com,"Hotel St. Pierre, French Quarter Inns"
928-282-4992,http://www.creeksideinn.net,http://theinnkeeper.com/listing/creekside-inn-at-sedona/, Mark and Tammy,6,"99 Copper Cliffs Drive, Sedona, AZ 86336",info@creeksideinn.net,Creekside Inn at Sedona
541.552.0605,http://amidsummer.com,http://theinnkeeper.com/listing/a-midsummers-dream/, Lisa Beach,5,"496 Beach Street, Ashland, OR 97520",info@amidsummer.com,A Midsummer's Dream
409-741-8484,http://www.moodygardenshotel.com?source=innkeeper,http://theinnkeeper.com/listing/moody-gardens-hotel/, Staff,127,"7 Hope Boulevard, Galveston, TX 77554",jdanesi@moodygardens.com,Moody Gardens Hotel
707-963-1190,http://www.shadyoaksinn.com,http://theinnkeeper.com/listing/shady-oaks-country-inn/, John & Lisa Runnells,5,"399 Zinfandel Lane, Napa, CA 94574",info@shadyoaksinn.com ,Shady Oaks Country Inn
207-695-2206,http://www.greenvilleinn.com/index.htm,http://theinnkeeper.com/listing/greenville-inn-at-moosehead-lake/, Terry & Jeff Johannemann,14,"40 Norris Street, Greenville, ME 04441",innkeeper@greenvilleinn.com,Greenville Inn at Moosehead Lake
707-887-8711,http://www.caseranchinn.com,http://theinnkeeper.com/listing/case-ranch-inn-bb/, Diana Van Ry,4,"7446 Poplar Dr., Forestville, CA 95436",barbara@caseranchinn.com,Case Ranch Inn B&B
512-847-9344,http://www.creekhaveninn.com,http://theinnkeeper.com/listing/creekhaven-inn-a-luxury-bed-breakfast/, Pat & Bill Appleman,14,"400 Mill Race Lane, Wimberley, TX 78676",pat@creekhaveninn.com,Creekhaven Inn â€œA Luxury Bed & Breakfastâ€ù
703-327-5911,http://www.briarpatchbandb.com,http://theinnkeeper.com/listing/briar-patch-bed-breakfast/," Ellen Goldberg, Dan Haendel, and Henriette Buell",9,"23130 Briar Patch Lane, Middleburg, VA 20117",briarpatchbandb@gmail.com,Briar Patch Bed & Breakfast Inn
207 633 7020,http://www.blueheronseasideinn.com,http://theinnkeeper.com/listing/blue-heron-seaside-inn/, Laura & Phil Chapman,6,"65 Townsend Ave., Boothbay Harbor, ME 04538",info@blueheronseasideinn.com,Blue Heron Seaside Inn
541 482 7128,http://www.ashlandinn.com,http://theinnkeeper.com/listing/lithia-springs-resort-gardens-of-ashland/, Duane Smith,25,"2165 West Jackson Road, Ashland, OR 97520",lithia@ashlandinn.com,Lithia Springs Resort & Gardens of Ashland
719-685-4515,http://www.rockledgeinn.com,http://theinnkeeper.com/listing/rockledge-country-inn/, Brett R. Maddox,7,"328 El Paso Blvd., Colorado Springs, CO 80829",info@redcrags.com,Rockledge Country Inn
904-277-2328,http://williamshouse.com,http://theinnkeeper.com/listing/amelia-island-williams-house/, Chris and Maria Page,10,"103 South 9th St, Amelia Island, FL 32034",info@williamshouse.com,Amelia Island Williams House
707 944-8315,http://oleander.com,http://theinnkeeper.com/listing/oleander-house/, ,5,"7433 St. Helena Hwy., Napa, CA 94558",innkeeper@oleander.com,Oleander House
912 236 1484,http://www.ballastone.com,http://theinnkeeper.com/listing/the-ballastone-inn/, Jim and Jennifer Salandi,16,"14 East Oglethorpe Ave, Savannah, GA 31401",inn@ballastone.com,The Ballastone Inn
330-893-3068,http://www.donnasofberlin.com,http://theinnkeeper.com/listing/donnas-premier-lodging/, Donna Marie Golden,17,"5523 East Street, ,  44610",info@donnasb-b.com,Donna's Premier Lodging
704-714-4400,http://www.dukemansion.com,http://theinnkeeper.com/listing/duke-mansion/, Becky Sagadin and Rondel,20,"400 Hermitage Road, Charlotte, NC 28207",bfarris@dukemansion.org,Duke Mansion
(207) 695-0224,http://www.blairhill.com,http://theinnkeeper.com/listing/blair-hill-inn-at-moosehead-lake/, Dan and Ruth McLaughlin,8,"351 Lily Bay Road, Greenville, ME 04441",info@blairhill.com,Blair Hill Inn at Moosehead Lake
603-279-0000,http://www.meredithinn.com,http://theinnkeeper.com/listing/the-meredith-inn/, Janet Carpenter,8,"2 WAUKEWAN STREET, Meredith, NH 03253",inn1897@metrocast.net,The Meredith Inn
(888) 909-2700,http://www.pleasantviewbandb.net/,http://theinnkeeper.com/listing/pleasant-view-bb/, Heidi Milbrand,7,"22 Hemp Hill Road, Bristol, NH 03222",theinnwench@metrocast.net,Pleasant View B&B
207-824-8060,http://www.thevictoria-inn.com/,http://theinnkeeper.com/listing/the-victoria/, Stacey,14,"32 Main Street, Bethel, ME 04217",info@thevictoria-inn.com,The Victoria Inn
(269)-686-0240,http://www.delanoinn.com,http://theinnkeeper.com/listing/delano-inn-bed-and-breakfast/, Marcia Meigebauer,6,"302 Cutler St, Allegan, MI 49010",delanoinn@triton.net,DeLano Inn Bed and Breakfast
1(207)647-3733,http://www.noblehousebb.com,http://theinnkeeper.com/listing/noble-house-inn/, Cindi,9,"81 Highland Road, Bridgton, ME 04009",innkeepers@noblehousebb.com,Noble House Inn
410-461-4636,http://www.waysideinnmd.com,http://theinnkeeper.com/listing/wayside-inn/, Susan and David Balderson,6,"4344 Columbia Road, Ellicott City, MD 21042",bnbboy@verizon.net,Wayside Inn
207-967-2311,http://www.captainjefferdsinn.com,http://theinnkeeper.com/listing/captain-jefferds-inn/, Erik and Sarah Lindblom,15,"5 Pearl Street, Kennebunkport, ME 04046",captjeff@captainjefferdsinn.com,Captain Jefferds Inn
850-875-2526,http://www.mcfarlinhouse.com,http://theinnkeeper.com/listing/mcfarlin-house/, Richard & Tina Fauble,9,"305 E. King Street, Tallahassee, FL 32351",info@mcfarlinhouse.com,McFarlin House
207-288-4533,http://www.hearthsideinn.com,http://theinnkeeper.com/listing/hearthside-bb/, Catherine Rowe and Brian Hamor,9,"7 High Street, Bar Harbor, ME 04609",bears@hearthsideinn.com,Hearthside B&B
928-282-6900,http://canyonwrencabins.com,http://theinnkeeper.com/listing/canyon-wren-cabins-for-two/, Mike and Milena Pfeifer Smith,4,"6425 North Highway 89A, Sedona, AZ 86336",cnynwren@sedona.net,Canyon Wren â€“ Cabins for Two
207-288-5703,http://www.atlanteaninn.com,http://theinnkeeper.com/listing/the-atlantean-inn/, Gary & Heidi,8,"11 Atlantic Avenue, Bar Harbor, ME 04609",stay@atlanteaninn.com,The Atlantean Inn
812 284 3580,http://www.oldbridgeinn.com,http://theinnkeeper.com/listing/old-bridge-inn/, Linda Williams,5,"131 W. Chestnut St., Jeffersonville, IN 47130",innbridge@aol.com,Old Bridge Inn
504-948-9420,http://www.elysianfieldsinn.com,http://theinnkeeper.com/listing/elysian-fields-inn/, Leigh Crawford,9,"930 Elysian Fields Avenue, New Orleans, LA 70117",innkeeper@elysianfieldsinn.com,Elysian Fields Inn
907-225-2655,http://www.cornerbnb.com,http://theinnkeeper.com/listing/corner-bed-breakfast/, Carolyn & Win Wilsie,1,"3870 Evergreen Avenue, Ketchikan, AK 99901",cjwilsie@kpunet.net,Corner Bed & Breakfast
706-820-2002,http://www.stayatchanticleer.com,http://theinnkeeper.com/listing/the-chanticleer-inn/, Audrey,17,"1300 Mockingbird Lane, Lookout Mountain, GA 30750",info@stayatchanticleer.com,The Chanticleer Inn Bed & Breakfast
978-412-2555,http://www.theinnatcastlehill.com,http://theinnkeeper.com/listing/the-inn-at-castle-hill/, Bob Chok,10,"280 Argilla Road, Ipswich, MA 01938",theinn@ttor.org,The Inn at Castle Hill
207-443-1146,http://www.pryorhouse.com,http://theinnkeeper.com/listing/pryor-house-bb/, Don & Gwenda Pryor,3,"360 Front St., Bath, ME 04530",pryorhse@comcast.net,Pryor House B&B
5048215009,http://www.degashouse.com,http://theinnkeeper.com/listing/degas-house-historic-home-courtyard-inn/, Innkeeper,9,"2306 Esplanade Ave., New Orleans, LA 70119",info@degashouse.com,"Degas House Historic Home, Courtyard, & Inn"
508-487-2292,http://www.reverehouse.com,http://theinnkeeper.com/listing/revere-guest-house/, Gary A. Palochko,8,"14 Court Street, Provincetown, MA 02657",info@reverehouse.com,Revere Guest House
207-967-5632,http://www.1802inn.com,http://theinnkeeper.com/listing/1802-house-bed-and-breakfast-inn/, Teri,6,"15 Locke Street, Kennebunkport, ME 04046",info@1802house.com,1802 House Bed and Breakfast Inn
 800-505-5343,http://kokopellilodge.com/,http://theinnkeeper.com/listing/kokopelli-lodge/,,,"72 South 100 East, Moab, UT 84532",reservations@moabutahlodging.com,Kokopelli Lodging
541/482-9296,http://www.mccallhouse.com,http://theinnkeeper.com/listing/mccall-house/, Bobbie & Ed Bludau,8,"153 Oak Street, Ashland, OR 97520",mccall@mccallhouse.com,McCall House
(541) 482-4563,http://abigailsbandb.com/about/,http://theinnkeeper.com/listing/hersey-house/, Paul and Terri Mensch,5,"451 North Main Street, Ashland, OR 97520",innkeeper@herseyhouse.com,Abigail's Bed & Breakfast Inn
541-482-1919,http://www.ashland-bed-breakfast.com,http://theinnkeeper.com/listing/ashland-chanticleer-inn/, Owner: Ellen Campbell,6,"120 Gresham Street, Ashland, OR 97520",COMFY@ASHLANDBNB.COM,Ashland Chanticleer Inn
541/488-1252,http://bayberryinn.com/,http://theinnkeeper.com/listing/bayberry-inn/, Harriet J. Maher,5,"438 North Main, Ashland, OR 97520",baberryinn@juno.com,Bayberry Inn
541/488-1050,http://www.opendoor.com/AnnesBed,http://theinnkeeper.com/listing/anne-hathaways-cottage/, Kate Jackson and Chuck Keil,5,"586 East Main Street, Ashland, OR 97520",AnnesBed@opendoor.com,Anne Hathaway's Cottage
(603) 356-2831,http://www.nereledgeinn.com/,http://theinnkeeper.com/listing/nereledge-inn/, Laura Glassover,11,"94 River Road, North Conway, NH 03860",info@nereledgeinn.com,Nereledge Inn
 800-338-1356,http://www.oldredinn.com,http://theinnkeeper.com/listing/old-red-inn-and-cottages/, Richard & Susan LeFave,17,"Route16 North Conway Village, North Conway, NH 03860",OldRedInn@RoadRunner.com,Old Red Inn and Cottages
(831)373-3388,http://www.martineinn.com,http://theinnkeeper.com/listing/the-martine-inn/, Don Martine,25,"255 Oceanview Blvd., Pacific Grove, CA 93950",don@martineinn.com,The Martine Inn
508-228-4886,http://www.tuckernuckinn.com,http://theinnkeeper.com/listing/tuckernuck-inn/, Phyllis Parker,19,"60 Union St., Nantucket, MA 02554",tuckinn@nantucket.net,Tuckernuck Inn
508-228-4425,http://www.sherburneinn.com,http://theinnkeeper.com/listing/sherburne-inn/, Dale and Susan Hamilton,8,"10 Gay Street, Nantucket, MA 02554",sherinn@nantucket.net,Sherburne Inn
207/594-9036,http://www.oldgraniteinn.com,http://theinnkeeper.com/listing/old-granite-inn/, Ed and Joan,11,"546 Main Street, Rockland, ME 04841",info@oldgraniteinn.com,Old Granite Inn
(207)338-2304,http://www.jeweledturret.com,http://theinnkeeper.com/listing/the-jeweled-turret-inn/, Carl & Cathy Heffentrager,7,"40 pearl Street, Belfast, ME 04915",info@jeweledturret.com,The Jeweled Turret Inn
504-942-7048,http://www.ashtonsbb.com,http://theinnkeeper.com/listing/ashtons-bed-breakfast/, Karma & Patrick Ashton,8,"2023 Esplanade Avenue, New Orleans, LA 70116",stay@ashtonsbb.com,Ashton's Bed & Breakfast
912/236-3620,http://hppt://www.bbonline.com,http://theinnkeeper.com/listing/eliza-thompson-house/, Carol & Steve Day,25,"5 West Jones Street, Savannah, GA 31401",elizath@aol.com,Eliza Thompson House
(504) 322-0474,http://www.bandwcourtyards.com/_index.php,http://theinnkeeper.com/listing/b-w-courtyards/, Tom & Dana,5,"2425 Chartres St, New Orleans, LA 70117",bandwcourtyards@cox.net,B & W Courtyards
727-360-7640,http://www.gulfsideresort.com,http://theinnkeeper.com/listing/gulfside-resort/, Kathy Teichert,10,"565 70th Avenue, , FL 33706",gulfsidevacation@gmail.com ,Gulfside Resort
352-498-0696,http://www.steinhatcheelanding.com,http://theinnkeeper.com/listing/steinhatchee-landing-resort/, R. Dean Fowler,21,"315 NE Highway 51, Steinhatchee, FL 32359",slrreservations@steinhatcheelanding.com,Steinhatchee Landing Resort
904-824-2100,http://www.pennyfarthinginn.net/,http://theinnkeeper.com/listing/penny-farthing-inn/, Marie Watkinson,6,"83 Cedar St., Saint Augustine, FL 32084",info@pennyfarthinginn.net,Penny Farthing Inn
(407) 481-8485,http://www.eoinn.com,http://theinnkeeper.com/listing/eo-inn/, ,17,"227 N. Eola Drive, Orlando, FL 32801",info@eoinn.com,Eo Inn
(407) 324-9238 ,http://www.higginshouse.com,http://theinnkeeper.com/listing/higgins-house-victorian-bed-breakfast/, Walter & Roberta Padgett,4,"420 Oak Ave, Sanford, FL 32771",Reservations@Higginshouse.com,Higgins House Victorian Bed & Breakfast
305-532-0616,http://www.villaparadisohotel.com,http://theinnkeeper.com/listing/villa-paradiso-hotel/, ,17,"1415 Collins Avenue, Miami Beach, FL 33139",villap@gate.net,Villa Paradiso Hotel
941-262-1414,http://www.lemontreeinn.com,http://theinnkeeper.com/listing/lemon-tree-inn/, ,35,"250 9th St South, Naples, FL 34102",info@lemontreeinn.com,Lemon Tree Inn
305-296-3336,http://www.merlinnkeywest.com,http://theinnkeeper.com/listing/merlinn-guesthouse/, Pat Hoffman,18,"811 Simonton Street, Key West, FL 33040",Merlinnc@aol.com,Merlin Guest House
303 674-7467,http://www.alpenwaychalet.net/index.asp,http://theinnkeeper.com/listing/abundant-way-chalet/, Jeff and Rebecca Nickel,8,"4980 Highway 73, Evergreen, CO 80439",alpenway@incognitosolutions.com,Alpen Way Chalet Inn
1-415-332-0502,http://www.casamadrona.com,http://theinnkeeper.com/listing/casa-madrona-hotel/, John W. Mays,34,"801 Bridgeway, Sausalito, CA 94965", info@casamadrona.com,Casa Madrona Hotel
303-296-6666,http://www.queenannebnb.com/,http://theinnkeeper.com/listing/queen-anne-bed-breakfast-inn/," The King Family - Tom, Chris, Dave, Sandy",14,"2147 - 51 Tremont Pl., Denver, CO 80205",TRAVEL@QUEENANNEBNB.COM,Queen Anne Bed & Breakfast Inn
 800-404-5634,http://www.pointreyesseashore.com/,http://theinnkeeper.com/listing/point-reyes-seashore-lodge/, ,22,"10021 Coastal Highway One, Olema, CA 94950", lodgekeeper@pointreyesseashore.com,Point Reyes Seashore Lodge
256-634-4836,http://www.mentoneinn.com/INDEX.html,http://theinnkeeper.com/listing/mentone-bb/, Cynthia,12,"6139 Alabama Hwy 117, Mentone, AL 35984",MentoneInn@Gmail.com,Mentone B&B
207-495-2400,http://www.wingshillinn.com,http://theinnkeeper.com/listing/wings-hill-inn/, Christopher & Tracey Anderson,6,"9 Dry Point Drive, Rome, ME 04963",innkeeper@wingshillinn.com,Wings Hill Inn
207-967-2621,http://www.kennebunkportinn.com,http://theinnkeeper.com/listing/kennebunkport-inn/, Debbie Lennon,49,"One Dock Square, Kennebunkport, ME 04046",info@kennebunkportinn.com,Kennebunkport Inn
904-277-1604,http://www.addisononamelia.com,http://theinnkeeper.com/listing/addison-on-amelia/, Bob and Shannon,14,"614 Ash Street, Amelia Island, FL 32034",info@AddisonOnAmelia.com,Addison on Amelia
(305) 304-1751,http://www.travelerspalm.com/,http://theinnkeeper.com/listing/travelers-palm-tropical-inn-cottages/, Eric Oestreich,4,"815 Catherine Street, Key West, FL 33040",info@travelerspalm.com ,Travelers Palm
845-679-8211,http://www.woodstock-inn-ny.com,http://theinnkeeper.com/listing/woodstock-inn-on-the-millstream/, carol,18,"48 Tannery Brook Road, Woodstock, NY 12498",info@woodstock-inn-ny.com,Woodstock Inn on the Millstream
207-774-5141,http://thechadwick.com,http://theinnkeeper.com/listing/the-chadwick-inn/," Innkeeper & Owner E Scot Fuller-Beatty, Assistant Innkeeper Erin Abraham",4,"140 Chadwick Street, Portland, ME 04102",innkeeper@thechadwick.com,The Chadwick Inn
828 963-5857,http://www.themastfarminn.com,http://theinnkeeper.com/listing/the-mast-farm-inn/, Sandra Deschamps Siano  & Danielle Deschamps,14,"2543 Broadstone Rd., Valle Crucis, NC 28691",reserve@themastfarminn.com,The Mast Farm Inn
305-294-1894,http://www.kwmermaid.com,http://theinnkeeper.com/listing/the-mermaid-the-alligator/, Geri LaGotta,9,"729 Truman Avenue, Key West, FL 33040",kwmermaid@aol.com,The Mermaid & The Alligator
1-603-823-5621,http://www.sugarhillinn.com,http://theinnkeeper.com/listing/sugar-hill-inn/, Steve Allen,14,"116 Scenic Route 117, Sugar Hill, NH 03586",info@sugarhillinn.com,Sugar Hill Inn
928-284-1226,http://www.canyonvilla.com,http://theinnkeeper.com/listing/canyon-villa-bed-and-breakfast-inn-of-sedona/, Les & Peg Belch,11,"40 Canyon Circle Drive, Sedona, AZ 86351",canvilla@sedona.net,Canyon Villa Bed and Breakfast Inn of Sedona
(757)   220-9600,http://magnoliamanorwmbg.com,http://theinnkeeper.com/listing/magnolia-manor-bb/, Scott and Jennifer Carter,4,"700 Richmond Road, Williamsburg, VA 23185",magnoliamanorinn@yahoo.com,Magnolia Manor B&B
912.234.6400,http://www.riverstreetinn.com,http://theinnkeeper.com/listing/river-street-inn/, Marianne ,86,"124 E. Bay Street, Savannah, GA 31401",info@riverstreetinn.com,River Street Inn
802-888-4956,http://www.sunsetmotorinn.com,http://theinnkeeper.com/listing/sunset-motor-inn/," Manosh Hospitality, LLC",55,"160 VT Route 15 W, Morrisville, VT 05661",sunset@together.net,Sunset Motor Inn
